state,city,lat,lon
AK,Adak,55.999722,-161.207778
AK,Akiachak,60.891854,-161.39233
AK,Akiak,60.890632,-161.199325
AK,Akutan,54.143012,-165.785368
AK,Alakanuk,62.746967,-164.60228
AK,Aleknagik,59.269688,-158.619882
AK,Allakaket,66.543197,-152.712155
AK,Ambler,67.46951,-156.455652
AK,Anaktuvuk Pass,68.11878,-151.679005
AK,Anchor Point,59.788818,-151.732933
AK,Anchorage,61.211571,-149.876077
AK,Anderson,64.300693,-149.1718
AK,Angoon,57.569832,-134.371052
AK,Aniak,61.691648,-157.758502
AK,Anvik,62.830913,-160.130441
AK,Arctic Village,68.077395,-145.423115
AK,Atka,52.199167,-174.213333
AK,Atqasuk,71.290556,-156.788611
AK,Auke Bay,58.3833,-134.6597
AK,Barrow,71.234637,-156.817409
AK,Beaver,66.33883,-147.279803
AK,Bethel,60.832389,-161.824053
AK,Bettles Field,67.100495,-151.062414
AK,Big Lake,61.5842,-149.4401
AK,Brevig Mission,65.334187,-166.478578
AK,Buckland,65.981052,-161.131676
AK,Cantwell,63.395458,-148.89735
AK,Central,65.468058,-144.74886
AK,Chalkyitsik,66.719,-143.638121
AK,Chefornak,60.153746,-164.210294
AK,Chevak,61.583982,-164.776457
AK,Chicken,64.075,-141.933333
AK,Chignik,56.301639,-158.415696
AK,Chignik Lagoon,56.251277,-158.673528
AK,Chignik Lake,56.255556,-158.7625
AK,Chitina,61.516667,-144.436667
AK,Chugiak,61.409802,-149.453736
AK,Circle,65.824542,-144.08262
AK,Clam Gulch,60.201603,-151.422628
AK,Clarks Point,58.84921,-158.451241
AK,Clear,64.418121,-149.139885
AK,Coffman Cove,55.342222,-131.646111
AK,Cold Bay,55.610952,-161.942941
AK,Cooper Landing,60.476692,-149.823514
AK,Copper Center,61.91581,-144.97793
AK,Cordova,60.102558,-147.943316
AK,Craig,55.47317,-133.117081
AK,Crooked Creek,61.818072,-158.002483
AK,Deering,66.062265,-162.711951
AK,Delta Junction,64.005426,-145.613611
AK,Denali National Park,63.516075,-149.539532
AK,Dillingham,59.059279,-158.973533
AK,Douglas,58.275597,-134.395041
AK,Dutch Harbor,53.362757,-167.510656
AK,Eagle,64.783333,-141.2
AK,Eagle River,61.311357,-149.508515
AK,Eek,60.215058,-162.032341
AK,Egegik,58.206174,-157.342202
AK,Eielson Afb,64.67352,-147.08051
AK,Ekwok,59.362792,-157.478211
AK,Elfin Cove,58.195,-136.358333
AK,Elim,64.621662,-162.260371
AK,Elmendorf Afb,61.251531,-149.812667
AK,Emmonak,62.827404,-164.131298
AK,Ester,64.846667,-148.016667
AK,Fairbanks,64.840238,-147.710431
AK,False Pass,54.841028,-163.436845
AK,Fort Greely,64.036667,-145.733333
AK,Fort Richardson,61.275256,-149.675454
AK,Fort Wainwright,64.828303,-147.655673
AK,Fort Yukon,66.520744,-145.306439
AK,Gakona,62.654744,-143.568393
AK,Galena,64.760784,-156.797701
AK,Gambell,63.776555,-171.701685
AK,Girdwood,60.9425,-149.166389
AK,Glennallen,62.103895,-145.661684
AK,Goodnews Bay,59.085008,-161.587146
AK,Grayling,63.372013,-159.404907
AK,Gustavus,58.42835,-135.761542
AK,Haines,59.251886,-135.542032
AK,Healy,63.917123,-149.011128
AK,Holy Cross,62.192584,-159.825092
AK,Homer,59.665495,-151.462644
AK,Hoonah,58.032237,-135.558435
AK,Hooper Bay,61.537157,-165.891045
AK,Hope,60.92,-149.641667
AK,Houston,61.633611,-149.841111
AK,Hughes,66.038246,-154.26443
AK,Huslia,65.689918,-156.291976
AK,Hydaburg,55.137406,-132.633175
AK,Hyder,55.925867,-130.124915
AK,Iliamna,59.564836,-155.462556
AK,Indian,60.9804,-149.4917
AK,Juneau,58.362767,-134.529429
AK,Kake,56.975833,-133.947222
AK,Kaktovik,70.042889,-143.631329
AK,Kalskag,61.541006,-160.3261
AK,Kaltag,64.330452,-158.724251
AK,Karluk,57.57,-154.458333
AK,Kasigluk,60.895556,-162.520556
AK,Kasilof,60.316365,-151.28958
AK,Kenai,60.614467,-151.254556
AK,Ketchikan,55.372028,-131.683175
AK,Kiana,67.18026,-158.152204
AK,King Cove,55.062848,-162.305561
AK,King Salmon,58.724264,-156.641603
AK,Kipnuk,59.923204,-164.101013
AK,Kivalina,67.665859,-163.733617
AK,Klawock,55.552611,-133.055503
AK,Kobuk,66.912253,-157.066864
AK,Kodiak,57.781967,-152.500169
AK,Kongiganak,60.9888,-149.4116
AK,Kotlik,63.029471,-163.554153
AK,Kotzebue,66.846459,-162.126493
AK,Koyuk,64.931668,-161.149957
AK,Koyukuk,64.883333,-157.7
AK,Kwethluk,60.771814,-161.38849
AK,Kwigillingok,59.881022,-162.984938
AK,Lake Minchumina,63.903884,-152.430081
AK,Larsen Bay,57.538333,-153.98
AK,Levelock,59.371395,-154.976815
AK,Lower Kalskag,61.51377,-160.359966
AK,Manley Hot Springs,65.02058,-150.573267
AK,Manokotak,59.009559,-158.989699
AK,Marshall,61.837087,-161.7394
AK,Mc Grath,62.967153,-155.585153
AK,Mekoryuk,60.365679,-166.283583
AK,Metlakatla,55.121491,-131.579001
AK,Meyers Chuck,55.741667,-132.253333
AK,Minto,65.058399,-149.691186
AK,Moose Pass,60.85852,-149.255911
AK,Mountain Village,62.158913,-163.883822
AK,Naknek,58.885699,-156.705405
AK,Napakiak,60.663758,-161.738144
AK,Nenana,64.557656,-149.086744
AK,New Stuyahok,59.593533,-157.297205
AK,Nightmute,60.479444,-164.723889
AK,Nikiski,60.690278,-151.288889
AK,Nikolai,63.001603,-154.381247
AK,Nikolski,52.988337,-168.788427
AK,Ninilchik,60.010833,-151.639604
AK,Noatak,66.97553,-160.509453
AK,Nome,64.505775,-165.310667
AK,Nondalton,60.030837,-154.731675
AK,Noorvik,66.836353,-161.044132
AK,North Pole,64.78049,-147.369353
AK,Northway,62.964167,-141.908611
AK,Nuiqsut,70.192737,-150.997119
AK,Nulato,64.778024,-157.991353
AK,Nunam Iqua,62.509167,-164.453333
AK,Nunapitchuk,60.896944,-162.459444
AK,Old Harbor,57.202778,-153.303889
AK,Ouzinkie,57.925,-152.491667
AK,Palmer,61.613814,-149.065323
AK,Pedro Bay,59.92238,-153.821856
AK,Pelican,57.960833,-136.2275
AK,Perryville,55.945289,-159.259333
AK,Petersburg,56.827134,-133.160683
AK,Pilot Point,57.595193,-157.449272
AK,Pilot Station,61.946159,-162.874716
AK,Platinum,58.63364,-162.043201
AK,Point Baker,56.307858,-133.376372
AK,Point Hope,68.312058,-166.72618
AK,Point Lay,69.705626,-162.906148
AK,Port Alexander,57.05,-135.333333
AK,Port Alsworth,60.636416,-154.433803
AK,Port Heiden,56.964333,-158.566367
AK,Port Lions,57.866667,-152.883333
AK,Prudhoe Bay,70.070057,-148.559636
AK,Quinhagak,59.738057,-161.874938
AK,Rampart,65.383627,-150.011201
AK,Red Devil,61.735389,-157.195969
AK,Ruby,64.720062,-155.503872
AK,Russian Mission,61.591302,-161.558413
AK,Saint George Island,56.60324,-169.547257
AK,Saint Marys,62.054106,-163.205263
AK,Saint Michael,63.47759,-162.109141
AK,Saint Paul Island,57.178697,-170.293408
AK,Salcha,64.50905,-146.952974
AK,Sand Point,55.319236,-160.491435
AK,Savoonga,63.679737,-170.470908
AK,Scammon Bay,61.845019,-165.581945
AK,Selawik,65.713537,-158.534287
